EVTDESC_RoI_3000;You have sent messengers out in all directions, their mission to try and find a wise guru and convince him to come to your court.;Vous avez envoyé des messagers dans toutes les directions, avec la mission de trouver un gourou sage et de le convaincre de rejoindre votre cour.;Ihr habt Botschafter in alle Richtungen entsandt. Ihre Aufgabe ist es, einen weisen Guru zu finden und ihn zu überzeugen, an Euren Hof zu kommen.;;Has enviado mensajeros en todas direcciones, su misión es intentar encontrar a un sabio gurú para convencerlo de que venga a tu corte.;;;;;;;;x
EVTDESC_RoI_3003;My [Root.GetLordLady], the wise guru [New.GetFirstNameWithNick] has agreed to come and take up residence at your court.;M[Root.GetOnA][Root.GetLordLady], le sage gourou [From.GetFirstNameWithNick] a accepté de venir s'installer à votre Cour.;Mein [Root.GetLordLady]. Der weise Guru [From.GetFirstNameWithNick] hat sich einverstanden erklärt, an Euren Hof zu kommen.;;Mi [Root.GetLordLady], el sabio gurú [From.GetFirstNameWithNick] ha accedido a venir y residir en vuestra corte.;;;;;;;;x
EVTDESC_RoI_3110;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so cynical.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être tellement cynique ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher zynisch zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan cínico.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3111;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so prone to cruelty.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être aussi enclin à la cruauté ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher Spaß an Grausamkeiten zu haben." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan propenso a la crueldad.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3112;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a duelist and engage in violence for sport.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un duelliste et de devenir violent pour se divertir ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher ein Duellant zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea un duelista y participe en la violencia por deporte.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3113;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to hunt innocent animals for sport.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de chasser des animaux innocents pour se divertir ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher unschuldige Tiere aus Spaß zu jagen." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble cace animales inocentes por deporte.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3114;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to show so little trust in those around [Root.GetHerHim].' He bows and looks at you in silence.;Le gourou de votre Cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de montrer si peu de confiance envers ceux qui l'entourent ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher so wenig Vertrauen in die Mitmenschen zu haben." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble muestre tan poca confianza en los que le rodean a [Root.GetHerHim].' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3150;Your court guru doesnt' talk much. He gives strange advice and has also been caught drinking on several occasions. You're beginning to doubt that he's a real guru.;Le gourou de votre cour n'es pas très bavard. Il vous donne d'étranges conseils, et on l'a plusieurs fois surpris en train de boire. Vous commencez à douter qu'il soit un véritable gourou.;Euer Hofguru redet nicht viel. Er gibt seltsame Ratschläge und wurde verschiedene Male dabei ertappt, wie er Alkohol zu sich genommen hat. Ihr zweifelt langsam daran, ob er wirklich ein echter Guru ist.;; Tu gurú de la corte no habla mucho. Da consejos extraño y además ha sido pillado bebiendo en varias ocasiones. Estás empezando a dudar de que él sea un gurú real.;;;;;;;;;x
EVTDESC_RoI_3151;You've had your court guru watched for several weeks. He secretly drinks and smokes herbs, he keeps sneaking out to pleasure houses in disguise, and spends the money he gets from donations on playing cards.;Vous avez fait surveiller votre gourou pendant plusieurs semaines. Il boit en secret et fume des herbes. Il s'éclipse discrètement pour visiter des lieux de plaisir incognito. Il dépense aux cartes les dons d'argent qu'il reçoit.;Ihr habt Euren Hofguru einige Wochen lang beobachten lassen. Er trinkt heimlich und raucht Kräuter, er schleicht sich verkleidet aus dem Haus, um Freudenhäuser zu besuchen, und gibt das Geld, das er durch Spenden einnimmt, beim Kartenspiel aus.;; Has tenido a tu gurú de la corte bajo observación durante varias semanas. Él bebe y fuma hierba en secreto, va furtivamente a casas de placer disfrazado, y gasta el dinero que recibe de donaciones jugando a las cartas.;;;;;;;;;x
EVTDESC_RoI_3152;As you confront your court guru over his habits, he breaks down and pleads for mercy: 'I confess, I'm an impostor. Please have mercy on me - I'm just a common man trying to make a living.';Alors que votre gourou entend vos remontrances concernant la vie qu'il mène, il se décompose et implore votre clémence. « Je l'avoue, je suis un imposteur. Ayez pitié de moi, je suis juste un homme du peuple qui tente de gagner sa vie. »;Als Ihr den Hofguru auf seine Gewohnheiten ansprecht, bricht er zusammen und bittet um Gnade: "Ich gebe es zu, ich bin ein Hochstapler. Bitte lasst Gnade walten - ich bin nur ein einfacher Mann, der versucht seinen Lebensunterhalt zu verdienen.";; Como te enfrentas a tu gurú de la corte por sus hábitos, él se viene abajo e implora misericordia: 'Confieso que soy un impostor. Por favor, tenga piedad de mí - Sólo soy un hombre común tratando de ganarse la vida.';;;;;;;;;x
EVTDESC_RoI_3202;Lately, you have been enganging in long philosophical conversations with [guru.GetFirstNameWithNick], your court guru. You have been discussing Buddhism, and how you can become master over your desires and weaknessess and eliminate the suffering they cause in your soul.;Ces derniers temps, vous vous êtes livré à de longues conversations philosophiques avec [guru.GetFirstNameWithNick], le gourou de votre cour. Vous avez parlé du bouddhisme, de comment maîtriser vos désirs et vos faiblesses, et de calmer la souffrance que ces émotions vous causent.;In letzter Zeit habt Ihr ausführliche philosophische Diskussionen mit [guru.GetFirstNameWithNick], Eurem Hofguru, geführt. Ihr habt Euch über den Buddhismus unterhalten und wie Ihr Herr über Eure Begierden und Schwächen werdet und das Leid, das sie Eurer Seele antun, auslöscht.;;Últimamente has participado en largas conversaciones filosóficas con [guru.GetFirstNameWithNick], tu gurú de la corte. Habéis discutido sobre el budismo, y cómo puedes convertirte en maestro de tus deseos y debilidades y eliminar el sufrimiento que causan en el alma.;;;;;;;;;x
EVTDESC_RoI_3302;[guru.GetFirstNameWithNick], your Court Guru, has been very keen to discuss matters of society and tradition with you lately. He expresses his views that the caste system is destructive and inhuman, and that men and women should be treated as equals. He even suggests that you become a champion of change by inviting the poor and the casteless to dine with you at your table.;[guru.GetFirstNameWithNick], le gourou de votre cour, semble très porté sur les discussions autour de la société et des traditions ces derniers temps. Il parle du système de castes qu'il trouve destructeur et inhumain, et déclare que les hommes et les femmes devraient être traités comme des égaux. Il a même suggéré que vous deveniez le promoteur du changement en invitant ce pauvre sans caste à dîner à votre table.;[guru.GetFirstNameWithNick], Euer Hofguru, war in letzter Zeit sehr erpicht darauf, mit Euch Fragen gesellschaftlicher und traditioneller Natur zu diskutieren. Er brachte seine Meinung zum Ausdruck, dass das Kastensystem schädlich und unmenschlich sei und das Männer und Frauen als gleichberechtigt behandelt werden sollten. Er schlägt sogar vor, dass ihr ein Vorreiter des Wandels werden und die Armen und Kastenlosen zum Essen an Euren Tisch einladen solltet.;;[guru.GetFirstNameWithNick], tu gurú de la corte, ha estado muy interesado en los últimos días en hablarte de los asuntos de la sociedad y la tradición. Expresa su opinión de que el sistema de castas es destructivo e inhumano, y que los hombres y las mujeres deben ser tratados como iguales. Incluso te aconseja que te conviertas en un campeón del cambio, y que invites a los pobres y los sin casta a cenar contigo en tu mesa.;;;;;;;;;x
EVTDESC_RoI_3402;In order to reach inner peace and become a stronger and more harmonious person, you have been practising meditation with your guru, [guru.GetFirstNameWithNick].\n\nYou have spent many moments reaching for your inner self, focusing, breathing, finding tranquility and harmony. You contemplate yourself within the universe, the universe within yourself, and your place in time and outside time.\n\nAnd little by little, you are beginning to feel the difference.;Afin de connaître la paix intérieure et de devenir une personne plus forte et plus harmonieuse, vous vous entraînez à la méditation avec votre gourou [guru.GetFirstNameWithNick].\n\nVous avez passé de longs moments à communiquer avec votre moi intérieur, vous concentrant, respirant, trouvant la tranquilité et l'harmonie. Vous vous considérez à l'intérieur de l'univers, l'univers à l'intérieur de vous-même, et votre place dans le temps et hors du temps\n\nEt petit à petit vous commencez à sentir la différence.;Um inneren Frieden zu erreichen und eine stärkere und harmonischere Persönlichkeit zu entwickeln, habt Ihr regelmäßig zusammen mit Eurem Guru [guru.GetFirstNameWithNick] meditiert.\n\nIhr habt viel Zeit damit verbracht Euer inneres Selbst zu erkunden und durch Konzentration und bewusste Atmung, Seelenruhe und Harmonie zu finden. Ihr sinnt über das Universum um und in Euch und Euren Platz in der Zeit und abseits davon.\n\nNach und nach fühlt Ihr den Unterschied.;;Para llegar a la paz interior y convertirte en una persona más fuerte y más armoniosa, has practicado la meditación con tu gurú, [guru.GetFirstNameWithNick].\n\nHas dedicado muchos momentos para llegar a tu interior, enfocando, respirando, encontrando tranquilidad y armonía. Te contemplas a ti mismo en el universo, el universo dentro de ti mismo y tu lugar en el tiempo y fuera del tiempo.\n\nY poco a poco, estás empezando a notar la diferencia...;;;;;;;;;x
EVTDESC_RoI_3505;My [Root.GetLordLady], the province of [From.GetName] is in disarray. There are many reports of deep-set corruption among religious officials of the [Root.Religion.GetName] faith.;M[Root.GetOnA][Root.GetLordLady], la province de [From.GetName] connaît des troubles. De nombreux rapports font état d'une corruption endémique au sein de la religion [Root.Religion.GetName].;Oh [Root.GetLordLady], die Provinz [From.GetName] ist in Aufruhr. Es gibt viele Berichte, dass unter den Anführern der [Root.Religion.GetName]en Religion tiefverwurzelte Korruption herrschen soll.;;Mi [Root.GetLordLady], la provincia de [From.GetName] está en desorden. Hay muchos reportes de profunda corrupción entre los funcionarios religiosos de la fe [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_RoI_3509;Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the corruption in the province of [From.GetName] has been eradicated.;« Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Grâce au regain de puissance de la foi [Root.Religion.GetName], la corruption a été éradiquée en [From.GetName]. »;Gute Neuigkeiten, oh [Root.GetLordLady]! Dank des Erstarkens der [Root.Religion.GetName]en Religion, wurde der Korruption in der Provinz [From.GetName] ein Ende bereitet.;;¡Buenas noticias, mi [Root.GetLordLady]! Gracias al resurgimiento del poder en la fe de [Root.Religion.GetName], la corrupción en la provincia de [From.GetName] se ha erradicado.;;;;;;;;;x
EVTDESC_RoI_3515;My [Root.GetLordLady], there are worrying news from the province of [From.GetName]. The [Root.Religion.GetName] faith is weakening and a strange local death cult have taken over several temples.;« M[Root.GetOnA][Root.GetLordLady], d'inquiétantes nouvelles nous parviennent de la province de [From.GetName]. La foi [Root.Religion.GetName] faiblit et une étrange secte locale a pris le pouvoir dans plusieurs temples. »;Oh [Root.GetLordLady], die Nachrichten aus der Provinz [From.GetName] geben Anlass zur Besorgnis. Die [Root.Religion.GetName]e Religion verliert an Stärke und ein merkwürdiger lokaler Totenkult hat mehrere Tempel übernommen.;;Mi [Root.GetLordLady], hay noticias preocupantes de la provincia de [From.GetName]. La fe de [Root.Religion.GetName] se está debilitando y un extraño culto local a la muerte se ha apoderado de varios templos.;;;;;;;;;x
